"vp_versioning_id","date_trunc","odim_code","year_season","year","season","day_night","slope_max","slope_max_time","mtr","prop","mtr_cum","prop_cum","top","mtrs","props","mtrs_cum","props_cum","tops","n_vp"
28,2022-05-05,"nldhl","2022_spring",2022,"spring","night",76.224980666753,2022-05-04 19:15:04,7052.25437267765,0.00303403207286158,2217097.39362401,0.953843160702525,85,66.5307016290344,0.00367539894817991,16838.5143411562,0.93022103153936,78,106
28,2022-03-28,"nldhl","2022_spring",2022,"spring","night",39.5916652283547,2022-03-27 18:30:04,6982.03180741405,0.00300382080934366,2224079.42543142,0.956846981511869,86,51.3384691721621,0.00283612454064645,17357.1304995552,0.958871282271981,87,136
28,2022-05-27,"nldhl","2022_spring",2022,"spring","night",42.9843400766878,2022-05-26 20:55:04,6929.99126176607,0.00298143184317181,2231009.41669319,0.95982841335504,87,75.3259919757182,0.00416128290998426,16492.8806186367,0.911126962348767,73,92
28,2022-03-05,"nldhl","2022_spring",2022,"spring","night",11.955595514147,2022-03-04 18:10:04,6919.38899519249,0.00297687051921363,2237928.80568838,0.962805283874254,88,44.6412193238225,0.00246614399864743,17740.1166962267,0.980028838557234,95,155
28,2022-04-26,"nldhl","2022_spring",2022,"spring","night",72.3914618360843,2022-04-25 19:15:04,6860.84900210397,0.00295168535044493,2244789.65469048,0.965756969224699,89,61.2575803759283,0.00338409247112882,17026.3424700611,0.940597343385054,81,112
28,2022-03-27,"nldhl","2022_spring",2022,"spring","night",48.5730630989987,2022-03-26 18:25:04,6655.22434994202,0.00286322118612786,2251444.87904042,0.968620190410827,90,48.5782799265841,0.00268364160567696,17555.8992390664,0.969851993405971,91,137
28,2022-03-01,"nldhl","2022_spring",2022,"spring","night",63.6561671656404,2022-02-28 18:45:04,6506.0275071582,0.00279903348355014,2257950.90654758,0.971419223894377,91,41.1773892858114,0.00227478937639549,17781.2940855125,0.98230362793363,96,158
28,2022-05-07,"nldhl","2022_spring",2022,"spring","night",62.0174136802345,2022-05-06 19:25:04,6174.03451023217,0.00265620292931752,2264124.94105781,0.974075426823694,92,59.3657164445401,0.00327957899790116,17085.7081865056,0.943876922382955,82,104
28,2022-03-03,"nldhl","2022_spring",2022,"spring","night",32.3987091096863,2022-03-02 18:15:04,6116.27962636293,0.00263135553148363,2270241.22068418,0.976706782355178,93,38.9571950723753,0.00215213773922627,17940.0554768459,0.99107418703538,100,157
28,2022-04-16,"nldhl","2022_spring",2022,"spring","night",21.347516967119,2022-04-15 20:00:04,5781.54902405322,0.00248734720031643,2276022.76970823,0.979194129555494,94,47.7813968930018,0.00263961887644464,17603.6806359594,0.972491612282416,92,121
28,2022-04-30,"nldhl","2022_spring",2022,"spring","night",44.4301384650569,2022-04-29 19:25:04,5619.27721271999,0.00241753436401066,2281642.04692095,0.981611663919505,95,51.0843382974545,0.00282208542296498,17408.2148378527,0.961693367694946,88,110
28,2022-03-30,"nldhl","2022_spring",2022,"spring","night",51.1652478808798,2022-03-29 18:15:04,5457.47332428193,0.00234792283823577,2287099.52024523,0.983959586757741,96,40.4257283280143,0.00223326487979422,17821.7198138405,0.984536892813424,97,135
28,2022-05-30,"nldhl","2022_spring",2022,"spring","night",303.267243585616,2022-05-29 20:20:04,4762.23450981772,0.00204881609166761,2291861.75475505,0.986008402849408,97,52.9137167757524,0.00292314697154822,17305.7920303831,0.956035157731334,86,90
28,2022-05-08,"nldhl","2022_spring",2022,"spring","night",25.4910959246825,2022-05-07 19:40:04,4645.44921438994,0.00199857253645223,2296507.20396944,0.988006975385861,98,44.6677809075956,0.00246761135754597,17695.4754769029,0.977562694558587,94,104
28,2022-03-02,"nldhl","2022_spring",2022,"spring","night",34.0396441018138,2022-03-01 18:00:04,4416.6091453251,0.00190012059861679,2300923.81311477,0.989907095984478,99,27.9532224387664,0.00154423810111819,18079.2197280325,0.998762128540751,104,158
28,2022-04-29,"nldhl","2022_spring",2022,"spring","night",136.522982896213,2022-04-28 19:15:04,4394.09562822967,0.00189043479754797,2305317.908743,0.991797530782025,100,39.946323892997,0.00220678082787425,17861.6661377335,0.986743673641298,98,110
28,2022-04-28,"nldhl","2022_spring",2022,"spring","night",80.7512636682644,2022-04-27 19:05:04,4278.59905646427,0.0018407456790727,2309596.50779946,0.993638276461098,101,38.8963550587661,0.00214877671466842,17978.9518319047,0.993222963750048,101,110
28,2022-05-04,"nldhl","2022_spring",2022,"spring","night",29.6851398103131,2022-05-03 19:40:04,4140.37512420132,0.00178127875948062,2313736.88292366,0.995419555220579,102,39.4321440400125,0.00217837565485546,17901.0982817735,0.988922049296153,99,105
28,2022-05-03,"nldhl","2022_spring",2022,"spring","night",119.373236034255,2022-05-02 19:10:04,3930.86412605709,0.00169114260522482,2317667.74704972,0.997110697825803,103,36.7370479070756,0.00202948870116794,18015.6888798118,0.995252452451216,102,107
28,2022-05-06,"nldhl","2022_spring",2022,"spring","night",32.8671878008932,2022-05-05 19:35:04,3735.65070710432,0.0016071575781886,2321403.39775682,0.998717855403992,104,35.5776257819459,0.00196543798841642,18051.2665055937,0.997217890439632,103,105
28,2022-03-31,"nldhl","2022_spring",2022,"spring","night",9.28125608957765,2022-03-30 18:40:04,2980.19586360916,0.0012821445960076,2324383.59362043,1,105,22.4074876963094,0.00123787145924866,18101.6272157288,0.999999999999999,105,133
28,2017-10-18,"nlhrw","2017_autumn",2017,"autumn","daylight",216.096942970516,2017-10-18 06:30:04,62583.6266482826,0.0548294543752412,62583.6266482826,0.0548294543752412,1,496.695449589544,0.0594326268255496,496.695449589544,0.0594326268255496,1,126
28,2017-10-08,"nlhrw","2017_autumn",2017,"autumn","daylight",377.108691697428,2017-10-08 07:30:04,43680.5672417427,0.0382685024331601,106264.193890025,0.0930979568084013,2,325.974382401065,0.0390048143987251,822.669831990609,0.0984374412242748,2,134
28,2017-08-26,"nlhrw","2017_autumn",2017,"autumn","daylight",117.094354257232,2017-08-26 04:50:04,32591.489753684,0.0285533724421801,138855.683643709,0.121651329250581,3,196.334275624603,0.0234925883575223,2582.97065604134,0.30906812459971,10,166
28,2017-09-24,"nlhrw","2017_autumn",2017,"autumn","daylight",98.0124260959282,2017-09-24 06:55:04,32308.3782973865,0.0283053387709547,171164.061941096,0.149956668021536,4,222.816402050942,0.0266613356024271,1780.87022996951,0.213091937705436,6,145
28,2017-09-19,"nlhrw","2017_autumn",2017,"autumn","daylight",114.344024363008,2017-09-19 05:25:04,31424.0766211273,0.0275306029333387,202588.138562223,0.177487270954875,5,209.493844140849,0.025067210644595,1990.36407411036,0.238159148350031,7,150
28,2017-10-27,"nlhrw","2017_autumn",2017,"autumn","daylight",470.520744467549,2017-10-27 06:45:04,30386.5046933359,0.026621587177579,232974.643255559,0.204108858132454,6,253.220872444466,0.0302994151222215,1075.89070443508,0.128736856346496,3,120
28,2017-10-19,"nlhrw","2017_autumn",2017,"autumn","daylight",141.589044876267,2017-10-19 07:50:04,30349.599802508,0.0265892548386552,263324.243058067,0.230698112971109,7,240.869839702444,0.0288215390505294,1558.05382791857,0.186430602103009,5,126
28,2017-10-30,"nlhrw","2017_autumn",2017,"autumn","daylight",178.159955344228,2017-10-30 06:50:04,28472.607486164,0.024944823697743,291796.850544231,0.255642936668852,8,241.293283781051,0.0288722067059833,1317.18398821613,0.15760906305248,4,118
28,2017-09-21,"nlhrw","2017_autumn",2017,"autumn","daylight",38.1634740565819,2017-09-21 07:20:04,28360.5921949598,0.0248466872101769,320157.442739191,0.280489623879029,9,198.325819545173,0.0237308886816661,2188.68989365553,0.261890037031697,8,143
28,2017-09-29,"nlhrw","2017_autumn",2017,"autumn","daylight",63.7278059199037,2017-09-29 06:30:04,26943.257231942,0.023604961428992,347100.699971133,0.304094585308021,10,191.086930722993,0.0228647116744964,2774.05758676434,0.331932836274207,11,141
28,2017-09-17,"nlhrw","2017_autumn",2017,"autumn","daylight",58.0677131474537,2017-09-17 05:50:04,24736.5542339582,0.021671671080901,371837.254205091,0.325766256388922,11,164.910361559721,0.019732526211675,3117.53608783358,0.37303212476883,13,150
28,2017-08-22,"nlhrw","2017_autumn",2017,"autumn","daylight",35.1134087482321,2017-08-22 05:10:04,24129.9554478837,0.0211402304750047,395967.209652975,0.346906486863926,12,141.110850572419,0.0168847701947681,3856.05889314571,0.461400863251427,18,171
28,2017-09-15,"nlhrw","2017_autumn",2017,"autumn","daylight",7.97560665374237,2017-09-15 05:35:04,22821.2205837829,0.0199936491347482,418788.430236758,0.366900135998675,13,150.139609103835,0.0179651159819886,3422.40886292598,0.409512003709356,15,152
28,2017-09-22,"nlhrw","2017_autumn",2017,"autumn","daylight",61.3007547891152,2017-09-22 06:15:04,22678.1537177087,0.0198683083926703,441466.583954466,0.386768444391345,14,178.568139509517,0.0213667622829481,2952.62572627385,0.353299598557155,12,127
